species,drought_phase,phase_day,total_day,date
DPE,2,3,39,01/03/2020
DPE,2,4,40,02/03/2020
DPE,2,5,41,03/03/2020
DPE,2,6,42,04/03/2020
DPE,2,7,43,05/03/2020
DPE,2,8,44,06/03/2020
DPE,2,9,45,07/03/2020
DPE,2,10,46,08/03/2020
DPE,2,11,47,09/03/2020
DPE,2,12,48,10/03/2020
DPE,2,13,49,11/03/2020
DPE,2_reduce,1,50,12/03/2020
DPE,2_reduce,2,51,13/03/2020
DPE,2_reduce,3,52,14/03/2020
DPE,2_reduce,4,53,15/03/2020
DPE,2_reduce,5,54,16/03/2020
DPE,2_reduce,6,55,17/03/2020
DPE,2_reduce,7,56,18/03/2020
DPE,2_reduce,8,57,19/03/2020
DPE,2_reduce,9,58,20/03/2020
DPE,2_reduce,10,59,21/03/2020
DPE,2_reduce,11,60,22/03/2020
DPE,2_reduce,12,61,23/03/2020
DPE,2_reduce,13,62,24/03/2020
DPE,2_reduce,14,63,25/03/2020
DPE,2_reduce,15,64,26/03/2020
DPE,2_reduce,16,65,27/03/2020
DPE,3,1,66,28/03/2020
DPE,3,2,67,29/03/2020
DPE,3,3,68,30/03/2020
DPE,3,4,69,31/03/2020
DPE,3,5,70,01/04/2020
DPE,3,6,71,02/04/2020
DPE,3,7,72,03/04/2020
DPE,3,8,73,04/04/2020
DPE,3,9,74,05/04/2020
DPE,3,10,75,06/04/2020
DPE,3,11,76,07/04/2020
DPE,3,12,77,08/04/2020
DPE,3,13,78,09/04/2020
DPE,3,14,79,10/04/2020
DPE,3,15,80,11/04/2020
DPE,3,16,81,12/04/2020
CAL,0,1,1,23/01/2020
CAL,0,2,2,24/01/2020
CAL,0,3,3,25/01/2020
CAL,0,4,4,26/01/2020
CAL,1,1,5,27/01/2020
CAL,1,2,6,28/01/2020
CAL,1,3,7,29/01/2020
CAL,1,4,8,30/01/2020
CAL,1,5,9,31/01/2020
CAL,1,6,10,01/02/2020
CAL,1,7,11,02/02/2020
CAL,1,8,12,03/02/2020
CAL,1,9,13,04/02/2020
CAL,1,10,14,05/02/2020
CAL,1,11,15,06/02/2020
CAL,1,12,16,07/02/2020
CAL,1,13,17,08/02/2020
CAL,1,14,18,09/02/2020
CAL,1,15,19,10/02/2020
CAL,1,16,20,11/02/2020
CAL,1,17,21,12/02/2020
CAL,1,18,22,13/02/2020
CAL,1_reduce,1,23,14/02/2020
CAL,1_reduce,2,24,15/02/2020
CAL,1_reduce,3,25,16/02/2020
CAL,1_reduce,4,26,17/02/2020
CAL,1_reduce,5,27,18/02/2020
CAL,1_reduce,6,28,19/02/2020
CAL,1_reduce,7,29,20/02/2020
CAL,1_reduce,8,30,21/02/2020
CAL,1_reduce,9,31,22/02/2020
CAL,1_reduce,10,32,23/02/2020
CAL,2,1,33,24/02/2020
CAL,2,2,34,25/02/2020
CAL,2,3,35,26/02/2020
CAL,2,4,36,27/02/2020
CAL,2,5,37,28/02/2020
CAL,2,6,38,29/02/2020
CAL,2,7,39,01/03/2020
CAL,2,8,40,02/03/2020
